id,title,vendor,price_range,variants_count,accessories,battery_health,warranty,url,image_path
22,Battery Health - iPhone 12 Pro Max,Apple,"11,500 - 14,500 บาท",36,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง) | *ไม่มีอะแดปเตอร์-หัวชาร์จ และสายชาร์จแถมให้ค่ะ | *ไม่มีติดฟิล์ม ไม่มีเคสแถมให้,สุขภาพแบตยังคงสูงกว่า  95%),รับประกันสินค้า 1 เดือน,https://compasia.co.th/collections/all-smartphones/products/battery-health-iphone-12-pro-max,data/images/compasia/battery-health-iphone-12-pro-max/img_1.png
23,iPhone Air,Apple,"25,500 บาท",4,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง) | *ไม่มีอะแดปเตอร์-หัวชาร์จ และสายชาร์จแถมให้ค่ะ | *ไม่มีติดฟิล์ม ไม่มีเคสแถมให้,สุขภาพแบต  80-100%,รับประกันสินค้า 1 เดือน,https://compasia.co.th/collections/all-smartphones/products/iphone-17-air,data/images/compasia/iphone-17-air/img_1.jpg
24,Battery Health - iPhone 14 Pro Max,Apple,"20,400 - 24,400 บาท",48,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง) | *ไม่มีอะแดปเตอร์-หัวชาร์จ และสายชาร์จแถมให้ค่ะ | *ไม่มีติดฟิล์ม ไม่มีเคสแถมให้,สุขภาพแบตยังคงสูงกว่า  95%),รับประกันสินค้า 1 เดือน,https://compasia.co.th/collections/all-smartphones/products/battery-health-iphone-14-pro-max,data/images/compasia/battery-health-iphone-14-pro-max/img_1.png
25,Galaxy Z Fold 7🔥,Samsung,"33,900 - 37,000 บาท",27,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง) | *ไม่มีอะแดปเตอร์-หัวชาร์จ และสายชาร์จแถมให้ค่ะ | *ไม่มีติดฟิล์ม ไม่มีเคสแถมให้,สุขภาพแบต  80-100%,รับประกันสินค้า 1 เดือน,https://compasia.co.th/collections/all-smartphones/products/galaxy-z-fold-7,data/images/compasia/galaxy-z-fold-7/img_1.jpg
26,Xiaomi 15 Ultra,Xiaomi,"20,500 - 22,500 บาท",6,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง) | *ไม่มีอะแดปเตอร์-หัวชาร์จ และสายชาร์จแถมให้ค่ะ | *ไม่มีติดฟิล์ม ไม่มีเคสแถมให้,สุขภาพแบต  80-100%,รับประกันสินค้า 1 เดือน,https://compasia.co.th/collections/all-smartphones/products/xiaomi-15-ultra,data/images/compasia/xiaomi-15-ultra/img_1.png
27,Galaxy Z Flip 7,Samsung,"19,550 - 21,550 บาท",24,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง) | *ไม่มีอะแดปเตอร์-หัวชาร์จ และสายชาร์จแถมให้ค่ะ | *ไม่มีติดฟิล์ม ไม่มีเคสแถมให้,สุขภาพแบต  80-100%,รับประกันสินค้า 1 เดือน,https://compasia.co.th/collections/all-smartphones/products/galaxy-z-flip-7,data/images/compasia/galaxy-z-flip-7/img_1.jpg
28,Apple Pencil (2nd gen) รับประกันสินค้า 7 วัน,Apple,950 บาท,1,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง),80-100%,ประกัน 7 วัน,https://compasia.co.th/collections/all-smartphones/products/airpods-pro-1st-gen-magsafe-charging-copy,data/images/compasia/airpods-pro-1st-gen-magsafe-charging-copy/img_1.jpg
29,Galaxy A25,Samsung,"3,900 - 4,900 บาท",6,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง) | *ไม่มีอะแดปเตอร์-หัวชาร์จ และสายชาร์จแถมให้ค่ะ | *ไม่มีติดฟิล์ม ไม่มีเคสแถมให้,สุขภาพแบตปกติ,รับประกันสินค้า 1 เดือน,https://compasia.co.th/collections/all-smartphones/products/galaxy-a25-1,data/images/compasia/galaxy-a25-1/img_1.png
30,Honor Magic5 Pro,Huawei,"11,900 - 12,900 บาท",6,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง) | *ไม่มีอะแดปเตอร์-หัวชาร์จ และสายชาร์จแถมให้ค่ะ | *ไม่มีติดฟิล์ม ไม่มีเคสแถมให้,สุขภาพแบต  80-100%,รับประกันสินค้า 1 เดือน,https://compasia.co.th/collections/all-smartphones/products/magic5-pro,data/images/compasia/magic5-pro/img_1.png
31,Galaxy S25 FE,Samsung,"14,500 - 16,500 บาท",6,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง) | *ไม่มีอะแดปเตอร์-หัวชาร์จ และสายชาร์จแถมให้ค่ะ | *ไม่มีติดฟิล์ม ไม่มีเคสแถมให้,สุขภาพแบต  80-100%,รับประกันสินค้า 1 เดือน,https://compasia.co.th/collections/all-smartphones/products/galaxy-s25-fe,data/images/compasia/galaxy-s25-fe/img_1.png
32,Galaxy S26 Ultra,Samsung,"33,900 - 42,900 บาท",18,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง) | *ไม่มีอะแดปเตอร์-หัวชาร์จ และสายชาร์จแถมให้ค่ะ | *ไม่มีติดฟิล์ม ไม่มีเคสแถมให้,สุขภาพแบต  80-100%,รับประกันสินค้า 1 เดือน,https://compasia.co.th/collections/all-smartphones/products/galaxy-s26-ultra,data/images/compasia/galaxy-s26-ultra/img_1.png
33,Apple Pencil (1nd gen) รับประกันสินค้า 7 วัน,Apple,750 บาท,1,สินค้าจะบรรจุในกล่องของคอมพ์เอเชีย (ไม่ใช่กล่องเดิมของเครื่อง),80-100%,ประกัน 7 วัน,https://compasia.co.th/collections/all-smartphones/products/apple-pencil-1nd-gen,data/images/compasia/apple-pencil-1nd-gen/img_1.jpg
